activity,duration,duration_std,duration_min,duration_max,duration_count,path_length,path_length_std,path_length_min,path_length_max,path_length_count,mean_speed,mean_speed_std,mean_speed_min,mean_speed_max,mean_speed_count
orientation,10.327448964118958,,10.327448964118958,10.327448964118958,1,,,,,0,,,,,0
swiping,29.047600030899048,,29.047600030899048,29.047600030899048,1,111.17598867138976,,111.17598867138976,111.17598867138976,1,9.960979404084211,,9.960979404084211,9.960979404084211,1
tapping,26.878849983215332,,26.878849983215332,26.878849983215332,1,,,,,0,,,,,0
zigzag,41.48078074998921,,41.48078074998921,41.48078074998921,1,30.26754337554533,,30.26754337554533,30.26754337554533,1,0.73655033541553,,0.73655033541553,0.73655033541553,1
