source_file,schema,activity,started_at,platform,phase,x,y,time,dt,dx,dy,step_distance,speed
zigzag_session_2026-03-23T03:35:17Z.json,path,zigzag,2026-03-23T03:34:33Z,unknown,began,0.09057971014492754,0.405,0.0,,,,0.0,0.0
zigzag_session_2026-03-23T03:35:17Z.json,path,zigzag,2026-03-23T03:34:33Z,unknown,moved,0.09782608695652174,0.42,0.14970799998263828,0.14970799998263828,0.007246376811594207,0.014999999999999958,0.016658630702900194,0.1112741517142177
zigzag_session_2026-03-23T03:35:17Z.json,path,zigzag,2026-03-23T03:34:33Z,unknown,moved,0.10024154589371981,0.43166666666666664,0.16634170833276585,0.016633708350127563,0.0024154589371980645,0.011666666666666659,0.011914090522922884,0.7162618384391425
zigzag_session_2026-03-23T03:35:17Z.json,path,zigzag,2026-03-23T03:34:33Z,unknown,moved,0.10144927536231885,0.43666666666666665,0.17448774998774752,0.008146041654981673,0.0012077294685990392,0.0050000000000000044,0.005143793392946743,0.6314469788895666
zigzag_session_2026-03-23T03:35:17Z.json,path,zigzag,2026-03-23T03:34:33Z,unknown,moved,0.10628019323671498,0.45,0.1998806666524615,0.025392916664713994,0.004830917874396129,0.013333333333333364,0.01418152126137879,0.5584833537883986
zigzag_session_2026-03-23T03:35:17Z.json,path,zigzag,2026-03-23T03:34:33Z,unknown,moved,0.10869565217391304,0.45666666666666667,0.2160022499738261,0.016121583321364596,0.0024154589371980645,0.006666666666666654,0.007090760630689368,0.4398302877169993
zigzag_session_2026-03-23T03:35:17Z.json,path,zigzag,2026-03-23T03:34:33Z,unknown,moved,0.1111111111111111,0.46166666666666667,0.23281933332327753,0.016817083349451423,0.0024154589371980645,0.0050000000000000044,0.005552876900966746,0.3301926252953894
zigzag_session_2026-03-23T03:35:17Z.json,path,zigzag,2026-03-23T03:34:33Z,unknown,moved,0.11352657004830918,0.4666666666666667,0.24992299999576062,0.017103666672483087,0.0024154589371980784,0.0050000000000000044,0.005552876900966752,0.32466002801027416
zigzag_session_2026-03-23T03:35:17Z.json,path,zigzag,2026-03-23T03:34:33Z,unknown,moved,0.11594202898550725,0.4716666666666667,0.26623595831915736,0.016312958323396742,0.0024154589371980645,0.0050000000000000044,0.005552876900966746,0.3403966828630079
zigzag_session_2026-03-23T03:35:17Z.json,path,zigzag,2026-03-23T03:34:33Z,unknown,moved,0.11835748792270531,0.4766666666666667,0.28305887497845106,0.016822916659293696,0.0024154589371980645,0.0050000000000000044,0.005552876900966746,0.330078131719157
zigzag_session_2026-03-23T03:35:17Z.json,path,zigzag,2026-03-23T03:34:33Z,unknown,moved,0.12077294685990338,0.4816666666666667,0.2999020833231043,0.01684320834465325,0.0024154589371980645,0.0050000000000000044,0.005552876900966746,0.3296804734193925
zigzag_session_2026-03-23T03:35:17Z.json,path,zigzag,2026-03-23T03:34:33Z,unknown,moved,0.12439613526570048,0.4866666666666667,0.3164213749987539,0.016519291675649583,0.0036231884057971037,0.0050000000000000044,0.006174746490658754,0.3737900275567322
