source_file,schema,activity,started_at,platform,x,y,time,tap_interval
tapping_session_2026-03-23T03:37:20Z.json,tapping,tapping,2026-03-23T03:36:52Z,unknown,0.3468586387434555,0.45166666666666666,5.115378022193909,0.1503620147705078
tapping_session_2026-03-23T03:37:20Z.json,tapping,tapping,2026-03-23T03:36:52Z,unknown,0.42670157068062825,0.5616666666666666,5.265300035476685,0.14992201328277588
tapping_session_2026-03-23T03:37:20Z.json,tapping,tapping,2026-03-23T03:36:52Z,unknown,0.46335078534031415,0.76,5.531545996665955,0.26624596118927
tapping_session_2026-03-23T03:37:20Z.json,tapping,tapping,2026-03-23T03:36:52Z,unknown,0.5615183246073299,0.5066666666666667,5.665516018867493,0.13397002220153809
tapping_session_2026-03-23T03:37:20Z.json,tapping,tapping,2026-03-23T03:36:52Z,unknown,0.7146596858638743,0.5233333333333333,5.831854939460754,0.16633892059326172
tapping_session_2026-03-23T03:37:20Z.json,tapping,tapping,2026-03-23T03:36:52Z,unknown,0.7774869109947644,0.9416666666666667,5.96485698223114,0.13300204277038574
tapping_session_2026-03-23T03:37:20Z.json,tapping,tapping,2026-03-23T03:36:52Z,unknown,0.6178010471204188,0.9083333333333333,6.114714980125427,0.1498579978942871
tapping_session_2026-03-23T03:37:20Z.json,tapping,tapping,2026-03-23T03:36:52Z,unknown,0.299738219895288,0.6833333333333333,6.282058954238892,0.16734397411346436
tapping_session_2026-03-23T03:37:20Z.json,tapping,tapping,2026-03-23T03:36:52Z,unknown,0.2801047120418848,0.545,6.43198299407959,0.14992403984069824
tapping_session_2026-03-23T03:37:20Z.json,tapping,tapping,2026-03-23T03:36:52Z,unknown,0.524869109947644,0.10666666666666667,6.548579931259155,0.11659693717956543
tapping_session_2026-03-23T03:37:20Z.json,tapping,tapping,2026-03-23T03:36:52Z,unknown,0.5157068062827225,0.3466666666666667,6.714692950248718,0.166113018989563
tapping_session_2026-03-23T03:37:20Z.json,tapping,tapping,2026-03-23T03:36:52Z,unknown,0.3756544502617801,0.6766666666666666,6.881312012672424,0.16661906242370605
tapping_session_2026-03-23T03:37:20Z.json,tapping,tapping,2026-03-23T03:36:52Z,unknown,0.45549738219895286,0.415,7.014109969139099,0.1327979564666748
tapping_session_2026-03-23T03:37:20Z.json,tapping,tapping,2026-03-23T03:36:52Z,unknown,0.5078534031413613,0.20333333333333334,7.1812779903411865,0.1671680212020874
tapping_session_2026-03-23T03:37:20Z.json,tapping,tapping,2026-03-23T03:36:52Z,unknown,0.5916230366492147,0.42333333333333334,7.347862958908081,0.16658496856689453
tapping_session_2026-03-23T03:37:20Z.json,tapping,tapping,2026-03-23T03:36:52Z,unknown,0.7958115183246073,0.455,7.498399019241333,0.15053606033325195
tapping_session_2026-03-23T03:37:20Z.json,tapping,tapping,2026-03-23T03:36:52Z,unknown,1.0,0.3,7.664543986320496,0.1661449670791626
tapping_session_2026-03-23T03:37:20Z.json,tapping,tapping,2026-03-23T03:36:52Z,unknown,1.0,0.585,7.79836893081665,0.13382494449615479
tapping_session_2026-03-23T03:37:20Z.json,tapping,tapping,2026-03-23T03:36:52Z,unknown,0.8887434554973822,0.6616666666666666,7.947953939437866,0.14958500862121582
tapping_session_2026-03-23T03:37:20Z.json,tapping,tapping,2026-03-23T03:36:52Z,unknown,0.5785340314136126,0.755,8.098304986953735,0.15035104751586914
tapping_session_2026-03-23T03:37:20Z.json,tapping,tapping,2026-03-23T03:36:52Z,unknown,0.3180628272251309,0.515,8.247732043266296,0.14942705631256104
tapping_session_2026-03-23T03:37:20Z.json,tapping,tapping,2026-03-23T03:36:52Z,unknown,0.29712041884816753,0.27,8.381062984466553,0.13333094120025635
tapping_session_2026-03-23T03:37:20Z.json,tapping,tapping,2026-03-23T03:36:52Z,unknown,0.13743455497382198,0.775,8.564355969429016,0.18329298496246338
tapping_session_2026-03-23T03:37:20Z.json,tapping,tapping,2026-03-23T03:36:52Z,unknown,0.24083769633507854,0.79,8.69770896434784,0.13335299491882324
tapping_session_2026-03-23T03:37:20Z.json,tapping,tapping,2026-03-23T03:36:52Z,unknown,0.2709424083769634,0.6266666666666667,8.847663044929504,0.14995408058166504
tapping_session_2026-03-23T03:37:20Z.json,tapping,tapping,2026-03-23T03:36:52Z,unknown,0.38481675392670156,0.115,9.014336943626404,0.16667389869689941
tapping_session_2026-03-23T03:37:20Z.json,tapping,tapping,2026-03-23T03:36:52Z,unknown,0.38481675392670156,0.38,9.164230942726135,0.14989399909973145
tapping_session_2026-03-23T03:37:20Z.json,tapping,tapping,2026-03-23T03:36:52Z,unknown,0.46727748691099474,0.81,9.3143550157547,0.15012407302856445
tapping_session_2026-03-23T03:37:20Z.json,tapping,tapping,2026-03-23T03:36:52Z,unknown,0.5549738219895288,0.07166666666666667,9.481500029563904,0.1671450138092041
tapping_session_2026-03-23T03:37:20Z.json,tapping,tapping,2026-03-23T03:36:52Z,unknown,0.5798429319371727,0.2816666666666667,9.76422894001007,0.282728910446167
tapping_session_2026-03-23T03:37:20Z.json,tapping,tapping,2026-03-23T03:36:52Z,unknown,0.6780104712041884,0.7166666666666667,9.914149045944214,0.14992010593414307
tapping_session_2026-03-23T03:37:20Z.json,tapping,tapping,2026-03-23T03:36:52Z,unknown,0.75,0.2833333333333333,10.082168936729431,0.16801989078521729
tapping_session_2026-03-23T03:37:20Z.json,tapping,tapping,2026-03-23T03:36:52Z,unknown,0.9083769633507853,0.48,10.347383975982666,0.26521503925323486
tapping_session_2026-03-23T03:37:20Z.json,tapping,tapping,2026-03-23T03:36:52Z,unknown,0.8756544502617801,0.7433333333333333,10.497488021850586,0.15010404586791992
tapping_session_2026-03-23T03:37:20Z.json,tapping,tapping,2026-03-23T03:36:52Z,unknown,0.7840314136125655,0.685,10.630751013755798,0.1332629919052124
tapping_session_2026-03-23T03:37:20Z.json,tapping,tapping,2026-03-23T03:36:52Z,unknown,0.6256544502617801,0.35,10.814427971839905,0.18367695808410645
tapping_session_2026-03-23T03:37:20Z.json,tapping,tapping,2026-03-23T03:36:52Z,unknown,0.4018324607329843,0.43333333333333335,10.947417974472046,0.1329900026321411
tapping_session_2026-03-23T03:37:20Z.json,tapping,tapping,2026-03-23T03:36:52Z,unknown,0.2342931937172775,0.59,11.09742295742035,0.15000498294830322
tapping_session_2026-03-23T03:37:20Z.json,tapping,tapping,2026-03-23T03:36:52Z,unknown,0.20026178010471204,0.57,11.247362971305847,0.14994001388549805
tapping_session_2026-03-23T03:37:20Z.json,tapping,tapping,2026-03-23T03:36:52Z,unknown,0.1400523560209424,0.195,11.397436022758484,0.15007305145263672
tapping_session_2026-03-23T03:37:20Z.json,tapping,tapping,2026-03-23T03:36:52Z,unknown,0.2198952879581152,0.6366666666666667,11.730659008026123,0.33322298526763916
