source_file,schema,activity,started_at,platform,phase,x,y,time,dt,dx,dy,step_distance,speed
swiping_session_2026-03-23T03_42_13Z.json,path,swiping,2026-03-23T03:41:38Z,unknown,began,0.8298429319371727,0.36,0.8996570110321045,,,,0.0,0.0
swiping_session_2026-03-23T03_42_13Z.json,path,swiping,2026-03-23T03:41:38Z,unknown,moved,0.7774869109947644,0.3516666666666667,0.9271600246429443,0.027503013610839844,-0.05235602094240832,-0.008333333333333304,0.0530150674182948,1.9276093946810184
swiping_session_2026-03-23T03_42_13Z.json,path,swiping,2026-03-23T03:41:38Z,unknown,moved,0.7486910994764397,0.3466666666666667,0.9400650262832642,0.012905001640319824,-0.028795811518324665,-0.0050000000000000044,0.029226678925236775,2.2647559248595686
swiping_session_2026-03-23T03_42_13Z.json,path,swiping,2026-03-23T03:41:38Z,unknown,moved,0.6649214659685864,0.34,0.9483309984207153,0.008265972137451172,-0.08376963350785338,-0.006666666666666654,0.08403449257587337,10.16631694112939
swiping_session_2026-03-23T03_42_13Z.json,path,swiping,2026-03-23T03:41:38Z,unknown,moved,0.612565445026178,0.3383333333333333,0.9650280475616455,0.016697049140930176,-0.05235602094240832,-0.0016666666666667052,0.05238254200303453,3.1372335052082354
swiping_session_2026-03-23T03_42_13Z.json,path,swiping,2026-03-23T03:41:38Z,unknown,moved,0.556282722513089,0.3383333333333333,0.9817390441894531,0.016710996627807617,-0.05628272251308908,0.0,0.05628272251308908,3.3680051385704237
swiping_session_2026-03-23T03_42_13Z.json,path,swiping,2026-03-23T03:41:38Z,unknown,moved,0.49345549738219896,0.34,0.9983519315719604,0.016612887382507324,-0.06282722513089001,0.0016666666666667052,0.06284932772452952,3.783167024337216
swiping_session_2026-03-23T03_42_13Z.json,path,swiping,2026-03-23T03:41:38Z,unknown,moved,0.4306282722513089,0.345,1.0151000022888184,0.01674807071685791,-0.06282722513089006,0.004999999999999949,0.06302586943190505,3.763171919764217
swiping_session_2026-03-23T03_42_13Z.json,path,swiping,2026-03-23T03:41:38Z,unknown,moved,0.3704188481675393,0.34833333333333333,1.0317119359970093,0.016611933708190918,-0.060209424083769614,0.003333333333333355,0.060301624021334016,3.630018339863759
swiping_session_2026-03-23T03_42_13Z.json,path,swiping,2026-03-23T03:41:38Z,unknown,moved,0.31413612565445026,0.35,1.0484240055084229,0.016712069511413574,-0.05628272251308902,0.0016666666666666496,0.05630739410826215,3.369265193027518
swiping_session_2026-03-23T03_42_13Z.json,path,swiping,2026-03-23T03:41:38Z,unknown,moved,0.2604712041884817,0.35,1.0651090145111084,0.016685009002685547,-0.053664921465968574,0.0,0.053664921465968574,3.2163555594924103
swiping_session_2026-03-23T03_42_13Z.json,path,swiping,2026-03-23T03:41:38Z,unknown,moved,0.2081151832460733,0.35,1.0817649364471436,0.016655921936035156,-0.05235602094240838,0.0,0.05235602094240838,3.143387747821747
swiping_session_2026-03-23T03_42_13Z.json,path,swiping,2026-03-23T03:41:38Z,unknown,moved,0.15837696335078533,0.35,1.098433017730713,0.016668081283569336,-0.04973821989528798,0.0,0.04973821989528798,2.9840399173189622
swiping_session_2026-03-23T03_42_13Z.json,path,swiping,2026-03-23T03:41:38Z,unknown,moved,0.11125654450261781,0.345,1.115103006362915,0.01666998863220215,-0.04712041884816752,-0.0050000000000000044,0.04738495407222361,2.8425306769968643
swiping_session_2026-03-23T03_42_13Z.json,path,swiping,2026-03-23T03:41:38Z,unknown,moved,0.06544502617801047,0.3433333333333333,1.1317839622497559,0.01668095588684082,-0.045811518324607337,-0.0016666666666666496,0.045841825759710006,2.7481534074359284
swiping_session_2026-03-23T03_42_13Z.json,path,swiping,2026-03-23T03:41:38Z,unknown,moved,0.04712041884816754,0.3433333333333333,1.1483639478683472,0.01657998561859131,-0.01832460732984293,0.0,0.01832460732984293,1.10522456118993
swiping_session_2026-03-23T03_42_13Z.json,path,swiping,2026-03-23T03:41:38Z,unknown,ended,0.0274869109947644,0.3516666666666667,1.1486459970474243,0.00028204917907714844,-0.01963350785340314,0.00833333333333336,0.021328832013827848,75.62096824254117
swiping_session_2026-03-23T03_42_13Z.json,path,swiping,2026-03-23T03:41:38Z,unknown,began,0.1544502617801047,0.7833333333333333,1.2659540176391602,0.11730802059173584,0.12696335078534032,0.43166666666666664,0.44995089015775097,3.8356361985145395
swiping_session_2026-03-23T03_42_13Z.json,path,swiping,2026-03-23T03:41:38Z,unknown,moved,0.17408376963350786,0.815,1.2819420099258423,0.01598799228668213,0.019633507853403148,0.03166666666666662,0.03725925936471924,2.3304526732700457
swiping_session_2026-03-23T03_42_13Z.json,path,swiping,2026-03-23T03:41:38Z,unknown,moved,0.1950261780104712,0.8366666666666667,1.2990210056304932,0.01707899570465088,0.020942408376963345,0.021666666666666723,0.030133518099816212,1.764361243536725
