source_file,schema,activity,started_at,platform,yaw,pitch,roll,time
orientation_session_2026-03-23T03_48_50Z.json,orientation,orientation,2026-03-23T03:48:36Z,unknown,-0.0015874166228769886,0.05023439624939547,0.06316610453270174,0.11182999610900879
orientation_session_2026-03-23T03_48_50Z.json,orientation,orientation,2026-03-23T03:48:36Z,unknown,-0.002458264625239183,0.05107553506904591,0.06470958276181207,0.208251953125
orientation_session_2026-03-23T03_48_50Z.json,orientation,orientation,2026-03-23T03:48:36Z,unknown,-0.002539034323102094,0.0515023353111406,0.06612997642666871,0.30737292766571045
orientation_session_2026-03-23T03_48_50Z.json,orientation,orientation,2026-03-23T03:48:36Z,unknown,-0.0010096979075074712,0.05044871873605407,0.06366085567051245,0.4063969850540161
orientation_session_2026-03-23T03_48_50Z.json,orientation,orientation,2026-03-23T03:48:36Z,unknown,-0.0017910400914917962,0.05224473309296391,0.06804414692657008,0.505984902381897
orientation_session_2026-03-23T03_48_50Z.json,orientation,orientation,2026-03-23T03:48:36Z,unknown,-0.0008542664367649207,0.049455333835237446,0.06520332589163268,0.6053979396820068
orientation_session_2026-03-23T03_48_50Z.json,orientation,orientation,2026-03-23T03:48:36Z,unknown,-0.0003701932201719351,0.05022629372852821,0.06507201890445322,0.704759955406189
orientation_session_2026-03-23T03_48_50Z.json,orientation,orientation,2026-03-23T03:48:36Z,unknown,-0.0018128564054537778,0.05104777271511432,0.06557729141983719,0.8039839267730713
orientation_session_2026-03-23T03_48_50Z.json,orientation,orientation,2026-03-23T03:48:36Z,unknown,-0.0009194075758849695,0.05487091775143561,0.0774035778167336,0.9030469655990601
orientation_session_2026-03-23T03_48_50Z.json,orientation,orientation,2026-03-23T03:48:36Z,unknown,-0.0022358999728953675,0.05712523434478192,0.0598973576878458,1.0025639533996582
orientation_session_2026-03-23T03_48_50Z.json,orientation,orientation,2026-03-23T03:48:36Z,unknown,0.0031069804796207403,0.04424757648825518,-0.02842955664672162,1.102117896080017
orientation_session_2026-03-23T03_48_50Z.json,orientation,orientation,2026-03-23T03:48:36Z,unknown,-0.02486855551213191,0.04264994619601804,0.07995267233488258,1.2013689279556274
orientation_session_2026-03-23T03_48_50Z.json,orientation,orientation,2026-03-23T03:48:36Z,unknown,-0.02898256182407898,0.0823894155297244,0.09691115117514891,1.3006949424743652
orientation_session_2026-03-23T03_48_50Z.json,orientation,orientation,2026-03-23T03:48:36Z,unknown,-0.08534231887041861,0.054713781659197505,-0.001196340896707513,1.4000239372253418
orientation_session_2026-03-23T03_48_50Z.json,orientation,orientation,2026-03-23T03:48:36Z,unknown,-0.14368782078748416,0.046878078724494406,0.03685142316130079,1.4991399049758911
orientation_session_2026-03-23T03_48_50Z.json,orientation,orientation,2026-03-23T03:48:36Z,unknown,-0.14989755868475144,0.06589677766689331,0.05506331989607877,1.5986559391021729
orientation_session_2026-03-23T03_48_50Z.json,orientation,orientation,2026-03-23T03:48:36Z,unknown,-0.2084316357384567,0.058994625929988435,0.004122461222821927,1.6980249881744385
orientation_session_2026-03-23T03_48_50Z.json,orientation,orientation,2026-03-23T03:48:36Z,unknown,-0.2497427194038601,0.05292095900695759,0.024633048200756232,1.7972599267959595
orientation_session_2026-03-23T03_48_50Z.json,orientation,orientation,2026-03-23T03:48:36Z,unknown,-0.23847632481610537,0.05239994176113296,0.1034407235703756,1.8963539600372314
orientation_session_2026-03-23T03_48_50Z.json,orientation,orientation,2026-03-23T03:48:36Z,unknown,-0.2831392526323257,0.0913315741420112,0.011602525762159796,1.9959779977798462
